,smiles,pH_range,logP
0,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,1,4.53
1,C#CCN1C(=O)C2CC[C@@](C)(C1=O)C2(C)C,0,2.28
2,C#CCOc1c(I)cc(C=C2C(=O)N(C)C(=S)N(C)C2=O)cc1OCC,0,3.72
3,C#CCOc1ccc(C2C3=C(CC(C)(C)CC3=O)OC3=C2C(=O)CC(C)(C)C3)cc1OCC,0,4.93
4,C#Cc1cccc(NC(=O)c2cc(C(=O)Nc3cccc(C#C)c3)cc(N3C(=O)c4ccccc4C3=O)c2)c1,0,6.85
5,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,0,5.77
6,C(=N/n1cnnc1)\c1ccc(-n2nc(-c3ccccc3)cc2-c2ccccc2)cc1,2,5.58
7,C/C(=C\c1ccco1)[C@@H]1c2c(-c3ccccc3)n[nH]c2OC(=N)C1C#N,2,4.82
8,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,0,2.92
9,C=C(C)CSc1nnc(-c2cccc(S(=O)(=O)N3CCOCC3)c2)n1C1CCCC1,2,4.73
10,C=C(c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,1,5.3
11,C=CCC(CC=C)(C(=O)NC(N)=O)C(=O)OC,0,1.37
12,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O,1,1.47
13,C=CCC1(CC)C(=O)NC(=O)NC1=O,0,0.95
14,C=CCCCCCCCCC(=O)O,0,3.86
15,C=CCN1C(=S)N(c2ccc(CC)cc2)[C@H]2CS(=O)(=O)C[C@@H]21,0,2.86
16,C=CCNC(=O)CSc1nc(C(F)F)cc(-c2cn(C)nc2C)c1C#N,1,3.74
17,C=CCNC(=O)CSc1nnc(CCn2nc(C)c(Br)c2C)n1CC,2,3.53
18,C=CCOC(=O)COc1ccc2c(=O)c(-c3ccc(Cl)cc3)c(C)oc2c1,0,4.84
19,C=CCOc1cccc([C@@H]2c3c(oc4ccccc4c3=O)C(=O)N2c2nnc(C)s2)c1,1,4.52
20,C=CCn1/c(=N/C(=O)c2cc(OC)c(OC)c(OC)c2)sc2cccc(OC)c21,2,5.14
21,C=CCn1c(C)c(C=C2C(=O)OC3(CCCCC3)OC2=O)c2ccccc21,0,4.62
22,C=CCn1c(SCC(=O)N2C[C@@]3(C)C[C@@H]2CC(C)(C)C3)nc2sc(CC)cc2c1=O,2,6.04
23,C=CCn1c(SCC(=O)NCc2ccc(C(=O)OCC)cc2)nc2sc(C)c(C)c2c1=O,1,4.83
24,C=CCn1c(SCC(=O)Nc2ccc(C)c(F)c2)nnc1-c1cccs1,1,4.48
25,C=CCn1c(SCc2ccccc2)nc2ccccc2c1=O,1,5.11
26,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,1,2.64
27,C=c1c(=Cc2sc(=S)n(CC)c2O)cc(C)n1-c1ccc2c(c1)OCO2,1,2.52
28,CC(=O)/N=c1/sc2nc3ccccc3nc2n1N(C(C)=O)C(C)=O,2,1.1
29,CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,1,0.13
30,CC(=O)C(N)C(=O)NC(C(=O)NC(CC(C)C)C(O)O)C(C)C,1,-1.97
31,CC(=O)C(N)C(O)NC(C(=O)O)C(C)C,1,-1.25
32,CC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)C(N)C(C)C)C(O)O,1,-1.32
33,CC(=O)C(NC(=O)C(N)Cc1c[nH]cn1)C(O)O,1,-2.23
34,CC(=O)C1=C(C)N=C(SCC(=O)Nc2ccccc2)C(C#N)[C@H]1c1ccccc1Cl,2,4.97
35,CC(=O)C1=C(C)N=C(SCC(=O)c2ccc(Cl)cc2Cl)C(C#N)[C@@H]1c1cccs1,2,5.25
36,CC(=O)N(C)S(=O)(=O)c1ccc(C)cc1,1,1.73
37,CC(=O)N(c1ccccc1)c1nc(/C=C/C(=O)Nc2ccc3c(c2)OCO3)cs1,2,4.37
38,CC(=O)N1Cc2ccccc2CC1C(=O)OCc1ccc(C#N)cc1,0,2.41
39,CC(=O)N=c1[nH]c2cc3sc(=NC(C)=O)[nH]c3cc2s1,1,3.13
40,CC(=O)N=c1[nH]nc(S(N)(=O)=O)s1,1,-0.26
41,CC(=O)NC(Cc1ccc(OP(=O)(OCCSC(=O)C(C)(C)C)OCC2OC(n3cc(C)c(=O)[nH]c3=O)CC2N=[N+]=[N-])cc1)C(N)=O,1,1.52
42,CC(=O)NCCc1ccc(S(=O)(=O)N2CCOCC2)cc1,0,2.0
43,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,0,0.5
44,CC(=O)NS(=O)(=O)c1ccc(N)cc1,0,-0.96
45,CC(=O)NS(=O)(=O)c1ccc(N)cc1,1,-0.96
46,CC(=O)N[C@H]1[C@@H](Oc2cccc3ccccc23)O[C@@H]2COC(C)(C)O[C@H]2[C@@H]1O,1,3.8
47,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,0,2.02
48,CC(=O)Nc1ccc(C(=O)N(Cc2ccco2)C2(C(=O)Nc3c(C)cccc3C)CCCCC2)cc1,0,4.62
49,CC(=O)Nc1ccc(NN=C(C#N)C#N)cc1,0,1.83
50,CC(=O)Nc1ccc(NN=C(C#N)C#N)cc1,1,1.83
51,CC(=O)Nc1ccc(S(N)(=O)=O)cc1,0,-0.04
52,CC(=O)Nc1ccc([C@@H]2c3c(C)nn(-c4cccc(Cl)c4)c3OC(=N)C2C#N)cc1,1,4.93
53,CC(=O)Nc1ccc([C@H]2c3c(-c4cc(C)sc4C)n[nH]c3OC(=N)C2C#N)cc1,2,4.26
54,CC(=O)Nc1cccc(C(=O)OCC(=O)c2c(N)n(C)c(=O)n(C)c2=O)c1,0,3.57
55,CC(=O)OCn1c(=O)[nH]cc(F)c1=O,0,-0.42
56,CC(=O)OCn1cc(F)c(=O)[nH]c1=O,0,-0.67
57,CC(=O)Oc1cc(C(=O)Nc2ccc(Oc3ccccc3)cc2)cc(OC(C)=O)c1OC(C)=O,2,2.89
58,CC(=O)Oc1ccc(C(=O)Nc2cccc(C(=O)c3cccc(NC(=O)c4ccc(OC(C)=O)cc4)c3)c2)cc1,0,5.34
